,bookID,title,author,average_rating,isbn,isbn13,language_code,num_pages,audio_hrs,ratings_count,text_reviews_count,publication_date,publisher
10388,29257,A Spiritual Journey,Ram Dass,4.16,1593976720,9781593976729,eng,0,0.0,68,4,2005-08-01,Macmillan Audio
10389,29260,Finding and Exploring Your Spiritual Path: An Exploration of the Pleasures and Perils of Seeking Personal Enlightenment,Ram Dass,3.95,940687569,9780940687561,eng,0,0.0,21,1,1989-05-15,Macmillan Audio
10393,31270,The Altman Code (Covert-One  #4),Gayle Lynds,3.95,1593978863,9781593978860,eng,0,0.0,5,1,2005-09-30,Audio Renaissance
10397,32498,John Grisham Value Collection: A Time to Kill  The Firm  The Client,John Grisham,4.5,739312642,9780739312643,eng,0,0.0,476,9,2004-06-01,Random House Audio
10404,35735,The Silmarillion  Volume 3,J.R.R. Tolkien,4.19,553525026,9780553525021,eng,0,0.0,60,4,1998-09-01,Random House Audio
10409,37911,Shipwreck (Island I),Gordon Korman,3.8,439023319,9780439023313,eng,0,0.0,103,14,2007-02-01,Scholastic Audio Books
10411,39959,The Carl Hiaasen Collection: Lucky You and Sick Puppy,Carl Hiaasen,4.32,739340824,9780739340820,eng,0,0.0,90,5,2006-06-06,Random House Audio
10414,40343,The Full Box (Full  #1-4),Janet Evanovich,4.29,1593979266,9781593979263,eng,0,0.0,101,3,2016-02-16,Macmillan Audio
10418,43343,Stowaway and Milk Run: Two Unabridged Stories From Mary Higgins Clark,Mary Higgins Clark,3.49,671046241,9780671046248,eng,0,0.0,64,2,1999-12-01,Simon & Schuster Audio
10426,45472,Treasury of American Tall Tales: Volume 1: Davy Crockett  Rip Van Winkle  Johnny Appleseed  Paul Bunyan (Rabbit Ears),David Bromberg,3.86,739336509,9780739336502,eng,0,0.0,36,9,2006-08-22,Listening Library (Audio)
